EpisodeId,TopicId,Topic,Score
127,1011,Comedy,0.5344896475639017
127,12796,Crying,0.5227000191508057
127,2015,Humour,0.5144375369609191
127,1058,Conversation,0.5104956911812195
128,4676,Valentine's Day,0.6151233197854131
128,31929,Puns,0.5519095143800764
128,1163,Dating and Courtship,0.5398304933245491
129,1163,Dating and Courtship,0.5233946372603662
129,42435,Webcomic,0.5161003196333518
129,3241,Numbers,0.5083703855611903
130,1163,Dating and Courtship,0.5940192811349428
130,2015,Humour,0.5398347479166749
130,12883,Cuteness,0.5284687944467553
130,1488,Families and Family Life,0.5225107312653801
130,3192,Nora Ephron,0.5217655135638096
130,16693,Flirting,0.518455038956659
130,4940,Yelp,0.5104693233575026
131,2015,Humour,0.5521388458609041
131,24031,Laughing,0.5287457842995302
131,1499,Father's Day,0.5236343832365312
131,3975,Seinfeld,0.5175069195354995
131,1488,Families and Family Life,0.5099926061689672
131,1011,Comedy,0.5086659155242691
131,1519,Fiction,0.5020462138507786
132,2015,Humour,0.5187173348398163
132,24031,Laughing,0.5085614298262808
133,24031,Laughing,0.5572107046873662
133,4036,Ska,0.5321882120397126
133,30386,Partying,0.5192287612840736
133,3975,Seinfeld,0.512509248197498
133,2015,Humour,0.5022310195477856
133,1163,Dating and Courtship,0.5005192665390478
134,1163,Dating and Courtship,0.5084610640709232
134,4118,South Park,0.5040546181024768
134,32652,Relationships,0.5026970380104188
135,42435,Webcomic,0.5377553424666588
135,2015,Humour,0.5347419652859393
135,24031,Laughing,0.5270440303241489
135,1755,Glenn Beck,0.5086825235890987
135,3149,"New York, New York",0.5078116583002988
135,1011,Comedy,0.5060951198547554
136,31767,Procrastination,0.5244587687926879
136,3670,Random,0.5101628856833378
137,40149,Toast,0.5228436354272085
138,24031,Laughing,0.5421694847009184
138,3670,Random,0.5268643030170325
138,1163,Dating and Courtship,0.5244885163462892
139,24031,Laughing,0.5422222697231991
139,3670,Random,0.5275119104609757
139,1163,Dating and Courtship,0.5243404664823539
140,9745,Breasts,0.5121101482050784
140,27711,Motherhood,0.508321132835094
141,1163,Dating and Courtship,0.517899857126773
142,24031,Laughing,0.5535618465237269
142,3670,Random,0.5415308186164036
142,4118,South Park,0.5173509748031839
142,2015,Humour,0.5088209735404559
142,3382,Parenting,0.5084738181751343
143,3670,Random,0.5718670511282714
143,24031,Laughing,0.533364142742933
143,4118,South Park,0.5270119419639566
143,3382,Parenting,0.522401156810401
143,1163,Dating and Courtship,0.5053396062692643
143,2015,Humour,0.502663951742247
144,3670,Random,0.5353725424473941
144,1852,Halloween,0.5208938465039439
144,3382,Parenting,0.5041620508237465
144,2386,Kissing,0.5025359766526805
145,3670,Random,0.5084122898347919
145,24031,Laughing,0.5044491158611598
146,32652,Relationships,0.5785920312979949
146,4036,Ska,0.5679534035274945
146,1163,Dating and Courtship,0.5489073919333756
146,24031,Laughing,0.5427860484439135
146,869,Cheating,0.5363036476741128
146,1645,Friendship,0.5306552202525252
146,3382,Parenting,0.5293719019611437
147,3670,Random,0.5741564283958851
147,3382,Parenting,0.5683221155498831
147,1488,Families and Family Life,0.554256103927706
147,3149,"New York, New York",0.54850627752534
147,27711,Motherhood,0.5417212806931799
147,1163,Dating and Courtship,0.5414923545064824
147,1011,Comedy,0.5225940608224361
148,3382,Parenting,0.5263918230258972
148,27711,Motherhood,0.5248954991104484
148,2015,Humour,0.5214902254054639
148,1488,Families and Family Life,0.514866316127371
148,1011,Comedy,0.5143397033180838
148,3670,Random,0.5092496351622992
148,386,Babies,0.5040657554578436
150,2015,Humour,0.52613524927709
150,3670,Random,0.5223264814456743
150,42435,Webcomic,0.5177809289472696
151,1011,Comedy,0.5380131059601998
151,24031,Laughing,0.5316602597952289
151,387,Bacon,0.5011918825901153
151,1163,Dating and Courtship,0.5000344139468412
152,32652,Relationships,0.5556024481368163
152,24031,Laughing,0.5362093589745704
152,1645,Friendship,0.526489024678616
152,16693,Flirting,0.5227516549063091
152,1163,Dating and Courtship,0.5180248944053705
152,14639,Drinking,0.5168982784336837
152,12796,Crying,0.5162863648771271
153,1163,Dating and Courtship,0.5316932205441954
153,2015,Humour,0.5051923701106557
153,1645,Friendship,0.5044781974787239
154,1163,Dating and Courtship,0.5614064092824796
154,4036,Ska,0.5193780198239878
154,24031,Laughing,0.507383609467237
154,32652,Relationships,0.5060531911418147
154,3515,Poetry,0.5039944197409697
154,31929,Puns,0.5006325178872527
154,2972,Music,0.5000520301151443
155,1163,Dating and Courtship,0.5372845537854991
155,3670,Random,0.5281023126874765
155,1011,Comedy,0.5260674284031792
155,42435,Webcomic,0.5258892071627583
155,24031,Laughing,0.5161555167734142
155,2015,Humour,0.5086629724708148
155,1645,Friendship,0.5069380927058779
156,3670,Random,0.6014139758592871
156,1163,Dating and Courtship,0.552759789627707
156,1488,Families and Family Life,0.5285244005041673
156,4185,Star Wars,0.5267903471359275
156,4036,Ska,0.5116416513317247
156,3790,Rock Music,0.5075616317208493
156,2015,Humour,0.506649433806435
157,1163,Dating and Courtship,0.5470080629832782
157,4036,Ska,0.5165214856711559
158,3382,Parenting,0.5621796225499992
158,1163,Dating and Courtship,0.5546192994565838
158,27711,Motherhood,0.5529770225411741
158,3670,Random,0.5397180352569031
158,2598,Love,0.5210604955538911
158,16693,Flirting,0.5171159622330199
158,24031,Laughing,0.5166643041547665
159,24031,Laughing,0.5807983613840068
159,3382,Parenting,0.5752249061688339
159,2015,Humour,0.554034592640158
159,1163,Dating and Courtship,0.537395979772556
159,27711,Motherhood,0.5133069123054927
159,1488,Families and Family Life,0.5102445543609622
159,12883,Cuteness,0.509241696675577
160,2015,Humour,0.5386297080774115
160,1163,Dating and Courtship,0.5189742353919334
160,3670,Random,0.5082349271509917
160,16693,Flirting,0.5069934600557889
160,31929,Puns,0.5019716716371984
161,2015,Humour,0.5672692685835152
161,1163,Dating and Courtship,0.5527181996286098
161,2386,Kissing,0.5493704092884913
161,1645,Friendship,0.5372219361754424
161,869,Cheating,0.5352280060469146
161,12685,Creative Writing,0.5347935201046449
161,1519,Fiction,0.5339515509962824
162,1272,Divorce,0.5591980290380345
162,1011,Comedy,0.5480313491615486
162,1163,Dating and Courtship,0.5407386353452517
162,32652,Relationships,0.5249509627620875
162,1120,"Customs, Etiquette and Manners",0.5139678767552726
162,24031,Laughing,0.5092853390265751
162,3382,Parenting,0.5079345157903729
163,24031,Laughing,0.5446371963557683
163,3382,Parenting,0.5390186792864645
163,1163,Dating and Courtship,0.5271777421398447
163,27711,Motherhood,0.5210695688039872
164,3382,Parenting,0.5316586046894637
164,31929,Puns,0.5310247847076537
164,24031,Laughing,0.5306256916542674
164,1645,Friendship,0.5117637242271622
164,1163,Dating and Courtship,0.5061273067088896
165,24031,Laughing,0.5818538746070151
165,32652,Relationships,0.5324568091470739
165,1645,Friendship,0.5230554340381902
165,3164,Next,0.5099376285588407
165,1163,Dating and Courtship,0.5089747559844647
165,2015,Humour,0.5047262348317484
165,1011,Comedy,0.504242200935528
166,3670,Random,0.5591121320970467
166,1645,Friendship,0.5068225930747935
166,12796,Crying,0.501856289470896
166,2015,Humour,0.5006534869106923
167,24031,Laughing,0.5335653703462081
167,1011,Comedy,0.5123266040089525
168,3670,Random,0.5067743913153426
168,24031,Laughing,0.5050527280497529
169,24031,Laughing,0.5513867946777485
169,1163,Dating and Courtship,0.5318796399923488
169,12796,Crying,0.5303425803061211
169,16693,Flirting,0.5259255264286048
169,2015,Humour,0.5217357369829954
169,3382,Parenting,0.5042177863453889
170,24031,Laughing,0.5474807928653448
170,3382,Parenting,0.5234304028437173
170,4118,South Park,0.5111589696557421
170,31929,Puns,0.5016113502351911
170,1163,Dating and Courtship,0.5006164405037645
171,42435,Webcomic,0.5230083921193464
171,2015,Humour,0.5113097852094475
171,12685,Creative Writing,0.5107739333002309
171,24031,Laughing,0.5056853392452672
172,42435,Webcomic,0.5234534450140184
172,2015,Humour,0.5119041500536747
172,12685,Creative Writing,0.5104214120498304
172,24031,Laughing,0.5077944280692465
173,3382,Parenting,0.5388710042843731
173,1645,Friendship,0.5376478965959133
173,24031,Laughing,0.5352962915298745
173,1488,Families and Family Life,0.5209503466115285
173,1120,"Customs, Etiquette and Manners",0.5186829267944153
173,2015,Humour,0.5134135096302818
