EpisodeId,Word,Occurrences
133,sorry,4
133,Now,1
133,meetings,1
133,ta,1
133,woman,1
133,jerk,1
133,far,2
133,reopened,1
133,worst,1
133,Hopeless,1
133,word,1
133,drinking,1
133,little,4
133,Where,9
133,tri,1
133,monogamy,1
133,prize,1
133,Just,3
133,cabs,1
133,lawnmower,1
133,marry,1
133,blares,1
133,leave,2
133,sang,1
133,race,2
133,uh,6
133,Go,2
133,guy,5
133,George,1
133,small,1
133,Abracadabra,1
133,ten,1
133,streets,3
133,boots,3
133,split,1
133,preacher,1
133,talks,1
133,booth,1
133,lawyer,1
133,reunion,1
133,substitutes,1
133,wager,1
133,Red,1
133,drinks,1
133,even,3
133,plays,2
133,Wears,1
133,giving,1
133,fact,1
133,cooking,1
133,orchestra,1
133,hazy,1
133,Mmm,1
133,Wrong,4
133,There,5
133,run,1
133,goes,1
133,Wardrobe,1
133,new,2
133,America,1
133,ever,4
133,told,1
133,pats,1
133,burn,1
133,Mm,2
133,K,1
133,never,7
133,giant,1
133,hours,1
133,met,2
133,Woman,1
133,let,3
133,Step,1
133,My,4
133,wait,1
133,digits,1
133,great,2
133,Deal,1
133,leaves,1
133,Laughs,1
133,lied,1
133,horrified,1
133,pick,1
133,opinion,1
133,Devil,1
133,love,4
133,When,1
133,brought,3
133,Also,1
133,Too,1
133,kind,1
133,Nice,1
133,everybody,1
133,HIMYM,1
133,use,1
133,inhales,1
133,score,2
133,would,7
133,sake,1
133,angry,1
133,June,1
133,two,2
133,next,2
133,Base,1
133,music,1
133,memory,1
133,means,1
133,tell,2
133,minor,1
133,loving,1
133,knows,2
133,porch,2
133,club,5
133,underwear,1
133,confused,1
133,phone,2
133,So,11
133,known,1
133,hold,1
133,must,1
133,town,1
133,Crazy,6
133,ma,1
133,room,1
133,car,6
133,quoting,1
133,work,2
133,sucks,1
133,Tonight,3
133,Improvements,1
133,learn,2
133,meet,4
133,sJerry,1
133,Your,2
133,numbers,3
133,meant,1
133,crazy,1
133,want,8
133,give,1
133,awesome,5
133,laughs,2
133,Jerry,79
133,something,2
133,slip,1
133,Prada,1
133,needs,1
133,end,3
133,lame,2
133,hoo,1
133,get,7
133,hot,1
133,writers,1
133,assistant,1
133,answer,2
133,instead,1
133,Why,3
133,hopeless,1
133,A,7
133,awesomest,3
133,okay,6
133,digesting,1
133,carBarney,1
133,siren,1
133,came,1
133,Mrs,1
133,wrong,3
133,frat,1
133,coming,1
133,fits,1
133,law,1
133,guys,5
133,man,1
133,All,4
133,remember,9
133,maybe,1
133,blows,1
133,Deep,1
133,playing,1
133,talk,2
133,cute,1
133,What,8
133,Barney,94
133,help,1
133,appartment,1
133,years,5
133,brain,1
133,already,2
133,hell,1
133,smiling,1
133,still,3
133,perfect,1
133,style,1
133,imitating,1
133,police,2
133,thank,1
133,somewhere,1
133,ll,10
133,Here,2
133,actually,1
133,better,3
133,window,2
133,weeks,1
133,bye,1
133,might,2
133,Wait,1
133,dad,10
133,wouldn,1
133,Kids,1
133,Bar,3
133,exhales,1
133,unemployed,1
133,safe,1
133,L,1
133,finish,1
133,cowboy,1
133,break,1
133,band,2
133,bang,1
133,course,1
133,Can,2
133,half,2
133,ninja,1
133,son,1
133,realize,3
133,gets,1
133,opera,1
133,always,1
133,didn,3
133,rocks,1
133,chuckles,3
133,store,1
133,truth,2
133,Mila,1
133,went,1
133,Saw,1
133,button,1
133,lifestyles,1
133,mean,3
133,malfunction,1
133,everyone,1
133,badly,1
133,Wow,3
133,hard,1
133,Except,1
133,used,2
133,taught,1
133,year,2
