EpisodeId,Character,Actor
20,Andrew,Brent Tarnol
20,Security Guard #1 (as Brett Jones),Brett A. Jones
20,Security Guard #2,Michael Owen
20,Valerie (uncredited),Joanne Brooks
20,Narrator (voice) (uncredited),Bob Saget
21,Ted Mosby,Josh Radnor
21,Marshall Eriksen,Jason Segel
21,Robin Scherbatsky,Cobie Smulders
21,Barney Stinson,Neil Patrick Harris
21,Lily Aldrin,Alyson Hannigan
21,Bob Rorschach,Eric Allan Kramer
21,Beautiful Woman,America Olivo
21,Clark Butterfield,Nate Torrence
21,Wendy,Charlene Amoia
21,Tracy (as Brenda Isaacs-Booth),Brenda Isaacs Booth
21,Fake Paramedic (uncredited),Carter Bays
21,Beautiful Woman #2 (uncredited),Lisa Claire
21,Narrator (voice) (uncredited),Bob Saget
21,Fake Paramedic (uncredited),Craig Thomas
22,Ted Mosby,Josh Radnor
22,Marshall Eriksen,Jason Segel
22,Robin Scherbatsky,Cobie Smulders
22,Barney Stinson,Neil Patrick Harris
22,Lily Aldrin,Alyson Hannigan
22,Sandy Rivers,Alexis Denisof
22,Penelope,Amy Acker
22,Lou,Robert Michael Morris
22,Vet,Suzanne Ford
22,Quartet Leader,Mark Gagliardi
22,Narrator (voice) (uncredited),Bob Saget
23,Ted Mosby,Josh Radnor
23,Marshall Eriksen,Jason Segel
23,Robin Scherbatsky,Cobie Smulders
23,Barney Stinson,Neil Patrick Harris
23,Lily Aldrin,Alyson Hannigan
23,Himself,George Clinton
23,Daughter,Lyndsy Fonseca
23,Son,David Henrie
23,Sunshine,Jenae Altschwager
23,Angry New Yorker (as Joey 'Coco' Diaz),Joey Diaz
23,Joey Adalian (as Gilbert John),G.J. Echternkamp
23,Chili Dog Couple (uncredited),Michelle Lenhardt
23,Chili Dog Couple (uncredited),Roberto Lequeux
23,Narrator (voice) (uncredited),Bob Saget
24,Ted Mosby,Josh Radnor
24,Marshall Eriksen,Jason Segel
24,Robin Scherbatsky,Cobie Smulders
24,Barney Stinson,Neil Patrick Harris
24,Lily Aldrin,Alyson Hannigan
24,Jenny,Nicole Garza
24,Jesse,Natalie Garza
24,Dan,Sundeep Ahuja
24,Cab Driver,Ken Cosby
24,Crazy Man,Barry Finkel
24,Waiter,Lee Warren Jones
24,Woman,Diane Mizota
24,Paula,Kelly Mullis
24,Amy (as Lara Boyd Rhodes),Lara Wickes
24,Art Professor,Richard Wharton
24,Mike,Josh Wingate
24,Narrator (voice) (uncredited),Bob Saget
25,Ted Mosby,Josh Radnor
25,Marshall Eriksen,Jason Segel
25,Robin Scherbatsky,Cobie Smulders
25,Barney Stinson,Neil Patrick Harris
25,Lily Aldrin,Alyson Hannigan
25,Alfred Mosby,Michael Gross
25,Virginia Mosby,Cristine Rose
25,Wendy,Charlene Amoia
25,Waitress,Noel True
25,Narrator (voice) (uncredited),Bob Saget
26,Ted Mosby,Josh Radnor
26,Marshall Eriksen,Jason Segel
26,Robin Scherbatsky,Cobie Smulders
26,Barney Stinson,Neil Patrick Harris
26,Lily Aldrin,Alyson Hannigan
26,Brad Morris,Joe Manganiello
26,Carl,Joe Nieves
26,Bouncer,Stephen Keys
26,Anna,Dawn Olivieri
26,Kara,Aisha Kabia
26,Paula (as Maria Arce),Maria Arcé
26,Chet,Ryan O'Connor
26,Manicurist,Bach Hoang
26,Office Architect,Daniel Mark Stafford
26,Narrator (voice) (uncredited),Bob Saget
27,Ted Mosby,Josh Radnor
27,Marshall Eriksen,Jason Segel
27,Robin Scherbatsky,Cobie Smulders
27,Barney Stinson,Neil Patrick Harris
27,Lily Aldrin,Alyson Hannigan
27,Brad Morris,Joe Manganiello
27,Dawn,Valerie Azlynn
27,Host,Jake Broder
27,Kara,Aisha Kabia
27,Woman #1,Claudia Mason
27,Narrator (voice) (uncredited),Bob Saget
28,Ted Mosby,Josh Radnor
28,Marshall Eriksen,Jason Segel
28,Robin Scherbatsky,Cobie Smulders
28,Barney Stinson,Neil Patrick Harris
28,Lily Aldrin,Alyson Hannigan
28,Hammond Druthers,Bryan Cranston
28,Professor Lewis,Jane Seymour
28,Bank President (as Charlie Robinson),Charles Robinson
28,Office Worker,Ewan Chung
28,Narrator (voice) (uncredited),Bob Saget
29,Ted Mosby,Josh Radnor
29,Marshall Eriksen,Jason Segel
29,Robin Scherbatsky,Cobie Smulders
29,Barney Stinson,Neil Patrick Harris
29,Lily Aldrin,Alyson Hannigan
29,Chloe,Morena Baccarin
29,Carl,Joe Nieves
29,Scott,Tom Lenk
29,Wendy,Charlene Amoia
29,Man,Shawn Carter Peterson
29,Lauren,Dana Power
29,Janine,Vanessa Vander Pluym
29,Narrator (voice) (uncredited),Bob Saget
30,Ted Mosby,Josh Radnor
30,Marshall Eriksen,Jason Segel
30,Robin Scherbatsky,Cobie Smulders
30,Barney Stinson,Neil Patrick Harris
30,Lily Aldrin,Alyson Hannigan
30,Captain Steve,Todd Stashwick
30,Receptionist,Patricia Belcher
30,Judge,Richard Gant
30,Big Chinese Gambler,Boyuen
30,Paul,Michael David Cheng
30,Producer,Monique Edwards
30,Old Woman,Mary Gillis
30,Chinese Man,Jim Lau
30,Registrar,Kate Micucci
30,Mike,Ron Nicolosi
30,Casino Waitress,Janet Cho
30,Narrator (voice) (uncredited),Bob Saget
31,Ted Mosby,Josh Radnor
31,Marshall Eriksen,Jason Segel
31,Robin Scherbatsky,Cobie Smulders
31,Barney Stinson,Neil Patrick Harris
31,Lily Aldrin,Alyson Hannigan
31,Girl #3,Courtney Abbiati
31,Girl #1,Candace Kroslak
31,Reverend Rob,Wayne Nickel
31,Sara,Rachel Specter
31,Dancer,Chris Moss
31,Dancer (uncredited),Tara Brook
31,Mr. Johnson (uncredited),Timothy Prindle
31,Narrator (voice) (uncredited),Bob Saget
32,Ted Mosby,Josh Radnor
32,Marshall Eriksen,Jason Segel
32,Robin Scherbatsky,Cobie Smulders
32,Barney Stinson,Neil Patrick Harris
32,Lily Aldrin,Alyson Hannigan
32,James Stinson,Wayne Brady
32,Rosa,Sarah Cahill
32,Flamboyant Guy,Michael Cotter
32,Drunk Guy (as Brian Delaney),Brian T. Delaney
32,Ken,Steven Engle
32,Young James,Kvon Harris
32,Muscular Guy (as Timothy Heinrich),Tim Heinrich
32,Charles,Dimitri Lekkos
32,Guy #1,Brady Matthews
32,Girl,Ingrid Raines
32,Tramp Stamp Girl,Gabrielle Richens
32,Concerned Guy,Jamison Yang
32,Mrs. Stinson,Megan Mullally
32,Narrator (voice) (uncredited),Bob Saget
33,Ted Mosby,Josh Radnor
33,Marshall Eriksen,Jason Segel
33,Robin Scherbatsky,Cobie Smulders
33,Barney Stinson,Neil Patrick Harris
33,Lily Aldrin,Alyson Hannigan
33,Virginia Mosby,Cristine Rose
33,Clint,Harry Groener
33,WPD Worker,Carlease Burke
33,WPD Driver,Marcus Folmar
33,Boy,Zachary Gordon
33,Charity,Hannah Payne
33,Brunette,Anne-Michelle Seiler
33,Stacy (as Moon Zappa),Moon Unit Zappa
33,New Yorker (uncredited),Christopher L. Antie
33,Alfred Mosby (voice) (uncredited),Michael Gross
33,Lily's Landlord (voice) (uncredited),Wayne Knight
33,New Yorker (uncredited),William Ramos Jr.
33,Narrator (voice) (uncredited),Bob Saget
34,Ted Mosby,Josh Radnor
34,Marshall Eriksen,Jason Segel
34,Robin Scherbatsky,Cobie Smulders
34,Barney Stinson,Neil Patrick Harris
34,Lily Aldrin,Alyson Hannigan
34,Katie Scherbatsky,Lucy Hale
34,Kyle,Ryan Pinkston
34,Molly,Misti Traya
34,Brian,Brian Kubach
34,Stranger (as Stuart Randy Smith),Stu Smith
34,Frances 'Baby' Houseman (archive footage),Jennifer Grey
34,Johnny Castle (archive footage),Patrick Swayze
34,Daughter (uncredited),Lyndsy Fonseca
34,Son (uncredited),David Henrie
34,Tourist Man (uncredited),James McMann
34,Narrator (voice) (uncredited),Bob Saget
35,Ted Mosby,Josh Radnor
35,Marshall Eriksen,Jason Segel
35,Robin Scherbatsky,Cobie Smulders
35,Barney Stinson,Neil Patrick Harris
35,Lily Aldrin,Alyson Hannigan
35,Hammond Druthers,Bryan Cranston
35,Carl,Joe Nieves
35,Brady,William Schallert
35,Kindergartner,Preston Bailey
35,Carol,Ewan Chung
35,Man,Thomas Anthony Jones
35,Mark,Ben Tolpin
35,Narrator (voice) (uncredited),Bob Saget
36,Ted Mosby,Josh Radnor
36,Marshall Eriksen,Jason Segel
36,Robin Scherbatsky,Cobie Smulders
36,Barney Stinson,Neil Patrick Harris
36,Lily Aldrin,Alyson Hannigan
36,Himself,Emmitt Smith
36,Daughter,Lyndsy Fonseca
36,Son,David Henrie
36,Kevin,John Ducey
36,Doug (as Nicholas Roget King),Nicholas Roget-King
36,Lou,Robert Michael Morris
36,Carl,Joe Nieves
36,Wendy,Charlene Amoia
36,Older Guy,Lou Bonacki
36,Pool Player #2,Marshall Cook
36,Random Guy,David Douglas
36,Producer,Monique Edwards
36,Pool Player #1,Jay Hayden
36,Sid,Dwight Hicks
36,Trish,Peyton Hinson
36,Mike,Ron Nicolosi
36,Bartender,Jon Ryckman
36,Narrator (voice) (uncredited),Bob Saget
37,Ted Mosby,Josh Radnor
37,Marshall Eriksen,Jason Segel
37,Robin Scherbatsky,Cobie Smulders
37,Barney Stinson,Neil Patrick Harris
37,Lily Aldrin,Alyson Hannigan
37,Phyllis,Meredith Scott Lynn
37,Fred,Kelly Perine
37,Pregnant Lady,Gabrielle Allan
37,Thug,Jason Medwin
37,Security Guard,Carrick O'Quinn
37,Suit Guy,John Rosenfeld
37,Old Lady,Connie Sawyer
37,Man Sitting Next to Barney on the Subway,Bill Macy
37,Daughter (uncredited),Lyndsy Fonseca
37,Son (uncredited),David Henrie
37,Narrator (voice) (uncredited),Bob Saget
38,Ted Mosby,Josh Radnor
38,Marshall Eriksen,Jason Segel
38,Robin Scherbatsky,Cobie Smulders
38,Barney Stinson,Neil Patrick Harris
38,Lily Aldrin,Alyson Hannigan
38,Mystery Guest,E.E. Bell
38,Lauren Stein,Ashli Ford
38,Alison Moses,Diana Gettinger
38,Jeannie Radford,Taylor Hoover
38,Hot Guy,Jason Lopez
